sku,product_line,line_code,garment,gender,cut,size,size_label,color_code,color_name,name,channel,unit_cost,unit_price,active
ZCRTM-LS-L-RR,ZavaCore Field Pro,R,Top,Mens,LS,L,Large,RR,Deep Red/Red,Pro Mens LS Top Large Deep Red/Red,B2C,18.95,45.11,true
ZCRTM-LS-L-T0,ZavaCore Field Pro,R,Top,Mens,LS,L,Large,T0,Teal/Orange,Pro Mens LS Top Large Teal/Orange,B2C,19.5,46.43,true
ZCRTM-SS-XL-B0,ZavaCore Field Pro,R,Top,Mens,SS,XL,XL,B0,Black/Orange,Pro Mens SS Top XL Black/Orange,B2C,18.64,44.39,true
ZCRTM-SS-XL-CS,ZavaCore Field Pro,R,Top,Mens,SS,XL,XL,CS,Charcoal/Silver,Pro Mens SS Top XL Charcoal/Silver,B2C,19.95,47.49,true
ZCRTM-LS-XL-RR,ZavaCore Field Pro,R,Top,Mens,LS,XL,XL,RR,Deep Red/Red,Pro Mens LS Top XL Deep Red/Red,B2C,18.56,44.18,true
ZCRTM-LS-XL-T0,ZavaCore Field Pro,R,Top,Mens,LS,XL,XL,T0,Teal/Orange,Pro Mens LS Top XL Teal/Orange,B2C,18.45,43.92,true
ZCRTW-SS-S-B0,ZavaCore Field Pro,R,Top,Womens,SS,S,Small,B0,Black/Orange,Pro Womens SS Top Small Black/Orange,B2C,19.45,46.32,true
ZCRTW-SS-S-CS,ZavaCore Field Pro,R,Top,Womens,SS,S,Small,CS,Charcoal/Silver,Pro Womens SS Top Small Charcoal/Silver,B2C,19.77,47.06,true
ZCRTW-LS-S-RR,ZavaCore Field Pro,R,Top,Womens,LS,S,Small,RR,Deep Red/Red,Pro Womens LS Top Small Deep Red/Red,B2C,18.23,43.4,true
ZCRTW-LS-S-T0,ZavaCore Field Pro,R,Top,Womens,LS,S,Small,T0,Teal/Orange,Pro Womens LS Top Small Teal/Orange,B2C,18.47,43.97,true
ZCRTW-SS-M-B0,ZavaCore Field Pro,R,Top,Womens,SS,M,Medium,B0,Black/Orange,Pro Womens SS Top Medium Black/Orange,B2C,19.11,45.5,true
ZCRTW-SS-M-CS,ZavaCore Field Pro,R,Top,Womens,SS,M,Medium,CS,Charcoal/Silver,Pro Womens SS Top Medium Charcoal/Silver,B2C,20.08,47.82,true
ZCRTW-LS-M-RR,ZavaCore Field Pro,R,Top,Womens,LS,M,Medium,RR,Deep Red/Red,Pro Womens LS Top Medium Deep Red/Red,B2C,20.08,47.81,true
ZCRTW-LS-M-T0,ZavaCore Field Pro,R,Top,Womens,LS,M,Medium,T0,Teal/Orange,Pro Womens LS Top Medium Teal/Orange,B2C,19.5,46.44,true
ZCRTW-SS-L-B0,ZavaCore Field Pro,R,Top,Womens,SS,L,Large,B0,Black/Orange,Pro Womens SS Top Large Black/Orange,B2C,19.85,47.27,true
ZCRTW-SS-L-CS,ZavaCore Field Pro,R,Top,Womens,SS,L,Large,CS,Charcoal/Silver,Pro Womens SS Top Large Charcoal/Silver,B2C,20.36,48.48,true
ZCRTW-LS-L-RR,ZavaCore Field Pro,R,Top,Womens,LS,L,Large,RR,Deep Red/Red,Pro Womens LS Top Large Deep Red/Red,B2C,18.72,44.58,true
ZCRTW-LS-L-T0,ZavaCore Field Pro,R,Top,Womens,LS,L,Large,T0,Teal/Orange,Pro Womens LS Top Large Teal/Orange,B2C,18.84,44.86,true
ZCRTW-SS-XL-B0,ZavaCore Field Pro,R,Top,Womens,SS,XL,XL,B0,Black/Orange,Pro Womens SS Top XL Black/Orange,B2C,19.19,45.7,true
ZCRTW-SS-XL-CS,ZavaCore Field Pro,R,Top,Womens,SS,XL,XL,CS,Charcoal/Silver,Pro Womens SS Top XL Charcoal/Silver,B2C,18.5,44.05,true
ZCRTW-LS-XL-RR,ZavaCore Field Pro,R,Top,Womens,LS,XL,XL,RR,Deep Red/Red,Pro Womens LS Top XL Deep Red/Red,B2C,18.38,43.75,true
ZCRTW-LS-XL-T0,ZavaCore Field Pro,R,Top,Womens,LS,XL,XL,T0,Teal/Orange,Pro Womens LS Top XL Teal/Orange,B2C,19.53,46.5,true
ZCRTY-SS-S-B0,ZavaCore Field Pro,R,Top,Youth,SS,S,Small,B0,Black/Orange,Pro Youth SS Top Small Black/Orange,B2C,17.16,40.86,true
ZCRTY-SS-S-CS,ZavaCore Field Pro,R,Top,Youth,SS,S,Small,CS,Charcoal/Silver,Pro Youth SS Top Small Charcoal/Silver,B2C,16.77,39.92,true
ZCRTY-LS-S-RR,ZavaCore Field Pro,R,Top,Youth,LS,S,Small,RR,Deep Red/Red,Pro Youth LS Top Small Deep Red/Red,B2C,15.55,37.02,true
ZCRTY-LS-S-T0,ZavaCore Field Pro,R,Top,Youth,LS,S,Small,T0,Teal/Orange,Pro Youth LS Top Small Teal/Orange,B2C,16.76,39.9,true
ZCRTY-SS-M-B0,ZavaCore Field Pro,R,Top,Youth,SS,M,Medium,B0,Black/Orange,Pro Youth SS Top Medium Black/Orange,B2C,16.43,39.11,true
ZCRTY-SS-M-CS,ZavaCore Field Pro,R,Top,Youth,SS,M,Medium,CS,Charcoal/Silver,Pro Youth SS Top Medium Charcoal/Silver,B2C,16.87,40.16,true
ZCRTY-LS-M-RR,ZavaCore Field Pro,R,Top,Youth,LS,M,Medium,RR,Deep Red/Red,Pro Youth LS Top Medium Deep Red/Red,B2C,17.39,41.4,true
ZCRTY-LS-M-T0,ZavaCore Field Pro,R,Top,Youth,LS,M,Medium,T0,Teal/Orange,Pro Youth LS Top Medium Teal/Orange,B2C,16.93,40.3,true
ZCRTY-SS-L-B0,ZavaCore Field Pro,R,Top,Youth,SS,L,Large,B0,Black/Orange,Pro Youth SS Top Large Black/Orange,B2C,17.44,41.52,true
ZCRTY-SS-L-CS,ZavaCore Field Pro,R,Top,Youth,SS,L,Large,CS,Charcoal/Silver,Pro Youth SS Top Large Charcoal/Silver,B2C,16.62,39.56,true
ZCRTY-LS-L-RR,ZavaCore Field Pro,R,Top,Youth,LS,L,Large,RR,Deep Red/Red,Pro Youth LS Top Large Deep Red/Red,B2C,16.16,38.47,true
ZCRTY-LS-L-T0,ZavaCore Field Pro,R,Top,Youth,LS,L,Large,T0,Teal/Orange,Pro Youth LS Top Large Teal/Orange,B2C,16.22,38.63,true
ZCRTY-SS-XL-B0,ZavaCore Field Pro,R,Top,Youth,SS,XL,XL,B0,Black/Orange,Pro Youth SS Top XL Black/Orange,B2C,16.77,39.94,true
ZCRTY-SS-XL-CS,ZavaCore Field Pro,R,Top,Youth,SS,XL,XL,CS,Charcoal/Silver,Pro Youth SS Top XL Charcoal/Silver,B2C,17.14,40.82,true
ZCRTY-LS-XL-RR,ZavaCore Field Pro,R,Top,Youth,LS,XL,XL,RR,Deep Red/Red,Pro Youth LS Top XL Deep Red/Red,B2C,16.09,38.31,true
ZCRTY-LS-XL-T0,ZavaCore Field Pro,R,Top,Youth,LS,XL,XL,T0,Teal/Orange,Pro Youth LS Top XL Teal/Orange,B2C,16.76,39.9,true
ZCRSM-AS-S-B0,ZavaCore Field Pro,R,Shorts,Mens,AS,S,Small,B0,Black/Orange,Pro Mens Shorts Small Black/Orange,B2C,16.59,39.51,true
ZCRSM-AS-S-CS,ZavaCore Field Pro,R,Shorts,Mens,AS,S,Small,CS,Charcoal/Silver,Pro Mens Shorts Small Charcoal/Silver,B2C,17.59,41.87,true
ZCRSM-AS-S-RR,ZavaCore Field Pro,R,Shorts,Mens,AS,S,Small,RR,Deep Red/Red,Pro Mens Shorts Small Deep Red/Red,B2C,17.06,40.61,true
ZCRSM-AS-S-T0,ZavaCore Field Pro,R,Shorts,Mens,AS,S,Small,T0,Teal/Orange,Pro Mens Shorts Small Teal/Orange,B2C,16.92,40.29,true
ZCRSM-AS-M-B0,ZavaCore Field Pro,R,Shorts,Mens,AS,M,Medium,B0,Black/Orange,Pro Mens Shorts Medium Black/Orange,B2C,16.2,38.57,true
ZCRSM-AS-M-CS,ZavaCore Field Pro,R,Shorts,Mens,AS,M,Medium,CS,Charcoal/Silver,Pro Mens Shorts Medium Charcoal/Silver,B2C,17.12,40.76,true
ZCRSM-AS-M-RR,ZavaCore Field Pro,R,Shorts,Mens,AS,M,Medium,RR,Deep Red/Red,Pro Mens Shorts Medium Deep Red/Red,B2C,17.08,40.67,true
ZCRSM-AS-M-T0,ZavaCore Field Pro,R,Shorts,Mens,AS,M,Medium,T0,Teal/Orange,Pro Mens Shorts Medium Teal/Orange,B2C,17.69,42.11,true
ZCRSM-AS-L-B0,ZavaCore Field Pro,R,Shorts,Mens,AS,L,Large,B0,Black/Orange,Pro Mens Shorts Large Black/Orange,B2C,16.7,39.75,true
ZCRSM-AS-L-CS,ZavaCore Field Pro,R,Shorts,Mens,AS,L,Large,CS,Charcoal/Silver,Pro Mens Shorts Large Charcoal/Silver,B2C,16.22,38.61,true
ZCRSM-AS-L-RR,ZavaCore Field Pro,R,Shorts,Mens,AS,L,Large,RR,Deep Red/Red,Pro Mens Shorts Large Deep Red/Red,B2C,17.59,41.89,true
ZCRSM-AS-L-T0,ZavaCore Field Pro,R,Shorts,Mens,AS,L,Large,T0,Teal/Orange,Pro Mens Shorts Large Teal/Orange,B2C,16.71,39.78,true
ZCRSM-AS-XL-B0,ZavaCore Field Pro,R,Shorts,Mens,AS,XL,XL,B0,Black/Orange,Pro Mens Shorts XL Black/Orange,B2C,17.29,41.17,true
ZCRSM-AS-XL-CS,ZavaCore Field Pro,R,Shorts,Mens,AS,XL,XL,CS,Charcoal/Silver,Pro Mens Shorts XL Charcoal/Silver,B2C,17.61,41.94,true
ZCRSM-AS-XL-RR,ZavaCore Field Pro,R,Shorts,Mens,AS,XL,XL,RR,Deep Red/Red,Pro Mens Shorts XL Deep Red/Red,B2C,15.74,37.48,true
ZCRSM-AS-XL-T0,ZavaCore Field Pro,R,Shorts,Mens,AS,XL,XL,T0,Teal/Orange,Pro Mens Shorts XL Teal/Orange,B2C,16.27,38.74,true
ZCRSW-AS-S-B0,ZavaCore Field Pro,R,Shorts,Womens,AS,S,Small,B0,Black/Orange,Pro Womens Shorts Small Black/Orange,B2C,16.22,38.62,true
ZCRSW-AS-S-CS,ZavaCore Field Pro,R,Shorts,Womens,AS,S,Small,CS,Charcoal/Silver,Pro Womens Shorts Small Charcoal/Silver,B2C,16.97,40.41,true
ZCRSW-AS-S-RR,ZavaCore Field Pro,R,Shorts,Womens,AS,S,Small,RR,Deep Red/Red,Pro Womens Shorts Small Deep Red/Red,B2C,15.91,37.87,true
ZCRSW-AS-S-T0,ZavaCore Field Pro,R,Shorts,Womens,AS,S,Small,T0,Teal/Orange,Pro Womens Shorts Small Teal/Orange,B2C,16.19,38.55,true
ZCRSW-AS-M-B0,ZavaCore Field Pro,R,Shorts,Womens,AS,M,Medium,B0,Black/Orange,Pro Womens Shorts Medium Black/Orange,B2C,16.32,38.86,true
ZCRSW-AS-M-CS,ZavaCore Field Pro,R,Shorts,Womens,AS,M,Medium,CS,Charcoal/Silver,Pro Womens Shorts Medium Charcoal/Silver,B2C,15.96,38.01,true
ZCRSW-AS-M-RR,ZavaCore Field Pro,R,Shorts,Womens,AS,M,Medium,RR,Deep Red/Red,Pro Womens Shorts Medium Deep Red/Red,B2C,17.37,41.35,true
ZCRSW-AS-M-T0,ZavaCore Field Pro,R,Shorts,Womens,AS,M,Medium,T0,Teal/Orange,Pro Womens Shorts Medium Teal/Orange,B2C,17.56,41.81,true
ZCRSW-AS-L-B0,ZavaCore Field Pro,R,Shorts,Womens,AS,L,Large,B0,Black/Orange,Pro Womens Shorts Large Black/Orange,B2C,17.29,41.17,true
ZCRSW-AS-L-CS,ZavaCore Field Pro,R,Shorts,Womens,AS,L,Large,CS,Charcoal/Silver,Pro Womens Shorts Large Charcoal/Silver,B2C,15.93,37.92,true
ZCRSW-AS-L-RR,ZavaCore Field Pro,R,Shorts,Womens,AS,L,Large,RR,Deep Red/Red,Pro Womens Shorts Large Deep Red/Red,B2C,15.62,37.2,true
ZCRSW-AS-L-T0,ZavaCore Field Pro,R,Shorts,Womens,AS,L,Large,T0,Teal/Orange,Pro Womens Shorts Large Teal/Orange,B2C,16.71,39.78,true
ZCRSW-AS-XL-B0,ZavaCore Field Pro,R,Shorts,Womens,AS,XL,XL,B0,Black/Orange,Pro Womens Shorts XL Black/Orange,B2C,15.62,37.19,true
ZCRSW-AS-XL-CS,ZavaCore Field Pro,R,Shorts,Womens,AS,XL,XL,CS,Charcoal/Silver,Pro Womens Shorts XL Charcoal/Silver,B2C,16.66,39.66,true
ZCRSW-AS-XL-RR,ZavaCore Field Pro,R,Shorts,Womens,AS,XL,XL,RR,Deep Red/Red,Pro Womens Shorts XL Deep Red/Red,B2C,17.35,41.32,true
ZCRSW-AS-XL-T0,ZavaCore Field Pro,R,Shorts,Womens,AS,XL,XL,T0,Teal/Orange,Pro Womens Shorts XL Teal/Orange,B2C,16.35,38.92,true
ZCRSY-AS-S-B0,ZavaCore Field Pro,R,Shorts,Youth,AS,S,Small,B0,Black/Orange,Pro Youth Shorts Small Black/Orange,B2C,14.19,33.79,true
ZCRSY-AS-S-CS,ZavaCore Field Pro,R,Shorts,Youth,AS,S,Small,CS,Charcoal/Silver,Pro Youth Shorts Small Charcoal/Silver,B2C,14.33,34.12,true
ZCRSY-AS-S-RR,ZavaCore Field Pro,R,Shorts,Youth,AS,S,Small,RR,Deep Red/Red,Pro Youth Shorts Small Deep Red/Red,B2C,13.42,31.95,true
ZCRSY-AS-S-T0,ZavaCore Field Pro,R,Shorts,Youth,AS,S,Small,T0,Teal/Orange,Pro Youth Shorts Small Teal/Orange,B2C,14.1,33.58,true
ZCRSY-AS-M-B0,ZavaCore Field Pro,R,Shorts,Youth,AS,M,Medium,B0,Black/Orange,Pro Youth Shorts Medium Black/Orange,B2C,13.92,33.14,true
ZCRSY-AS-M-CS,ZavaCore Field Pro,R,Shorts,Youth,AS,M,Medium,CS,Charcoal/Silver,Pro Youth Shorts Medium Charcoal/Silver,B2C,13.77,32.79,true
ZCRSY-AS-M-RR,ZavaCore Field Pro,R,Shorts,Youth,AS,M,Medium,RR,Deep Red/Red,Pro Youth Shorts Medium Deep Red/Red,B2C,13.86,32.99,true
ZCRSY-AS-M-T0,ZavaCore Field Pro,R,Shorts,Youth,AS,M,Medium,T0,Teal/Orange,Pro Youth Shorts Medium Teal/Orange,B2C,13.44,32.01,true
ZCRSY-AS-L-B0,ZavaCore Field Pro,R,Shorts,Youth,AS,L,Large,B0,Black/Orange,Pro Youth Shorts Large Black/Orange,B2C,13.68,32.56,true
ZCRSY-AS-L-CS,ZavaCore Field Pro,R,Shorts,Youth,AS,L,Large,CS,Charcoal/Silver,Pro Youth Shorts Large Charcoal/Silver,B2C,14.46,34.44,true
ZCRSY-AS-L-RR,ZavaCore Field Pro,R,Shorts,Youth,AS,L,Large,RR,Deep Red/Red,Pro Youth Shorts Large Deep Red/Red,B2C,14.89,35.45,true
ZCRSY-AS-L-T0,ZavaCore Field Pro,R,Shorts,Youth,AS,L,Large,T0,Teal/Orange,Pro Youth Shorts Large Teal/Orange,B2C,13.38,31.85,true
ZCRSY-AS-XL-B0,ZavaCore Field Pro,R,Shorts,Youth,AS,XL,XL,B0,Black/Orange,Pro Youth Shorts XL Black/Orange,B2C,14.69,34.98,true
ZCRSY-AS-XL-CS,ZavaCore Field Pro,R,Shorts,Youth,AS,XL,XL,CS,Charcoal/Silver,Pro Youth Shorts XL Charcoal/Silver,B2C,13.71,32.64,true
ZCRSY-AS-XL-RR,ZavaCore Field Pro,R,Shorts,Youth,AS,XL,XL,RR,Deep Red/Red,Pro Youth Shorts XL Deep Red/Red,B2C,13.53,32.22,true
ZCRSY-AS-XL-T0,ZavaCore Field Pro,R,Shorts,Youth,AS,XL,XL,T0,Teal/Orange,Pro Youth Shorts XL Teal/Orange,B2C,14.14,33.67,true
ZCRPM-AP-S-B0,ZavaCore Field Pro,R,Pants,Mens,AP,S,Small,B0,Black/Orange,Pro Mens Pants Small Black/Orange,B2C,24.37,58.03,true
ZCRPM-AP-S-CS,ZavaCore Field Pro,R,Pants,Mens,AP,S,Small,CS,Charcoal/Silver,Pro Mens Pants Small Charcoal/Silver,B2C,24.63,58.64,true
ZCRPM-AP-S-RR,ZavaCore Field Pro,R,Pants,Mens,AP,S,Small,RR,Deep Red/Red,Pro Mens Pants Small Deep Red/Red,B2C,23.97,57.07,true
ZCRPM-AP-S-T0,ZavaCore Field Pro,R,Pants,Mens,AP,S,Small,T0,Teal/Orange,Pro Mens Pants Small Teal/Orange,B2C,24.04,57.25,true
ZCRPM-AP-M-B0,ZavaCore Field Pro,R,Pants,Mens,AP,M,Medium,B0,Black/Orange,Pro Mens Pants Medium Black/Orange,B2C,25.77,61.35,true
ZCRPM-AP-M-CS,ZavaCore Field Pro,R,Pants,Mens,AP,M,Medium,CS,Charcoal/Silver,Pro Mens Pants Medium Charcoal/Silver,B2C,24.65,58.69,true
ZCRPM-AP-M-RR,ZavaCore Field Pro,R,Pants,Mens,AP,M,Medium,RR,Deep Red/Red,Pro Mens Pants Medium Deep Red/Red,B2C,24.56,58.48,true
ZCRPM-AP-M-T0,ZavaCore Field Pro,R,Pants,Mens,AP,M,Medium,T0,Teal/Orange,Pro Mens Pants Medium Teal/Orange,B2C,24.75,58.93,true
ZCRPM-AP-L-B0,ZavaCore Field Pro,R,Pants,Mens,AP,L,Large,B0,Black/Orange,Pro Mens Pants Large Black/Orange,B2C,25.44,60.57,true
ZCRPM-AP-L-CS,ZavaCore Field Pro,R,Pants,Mens,AP,L,Large,CS,Charcoal/Silver,Pro Mens Pants Large Charcoal/Silver,B2C,24.72,58.86,true
ZCRPM-AP-L-RR,ZavaCore Field Pro,R,Pants,Mens,AP,L,Large,RR,Deep Red/Red,Pro Mens Pants Large Deep Red/Red,B2C,26.01,61.93,true
ZCRPM-AP-L-T0,ZavaCore Field Pro,R,Pants,Mens,AP,L,Large,T0,Teal/Orange,Pro Mens Pants Large Teal/Orange,B2C,24.19,57.6,true
ZCRPM-AP-XL-B0,ZavaCore Field Pro,R,Pants,Mens,AP,XL,XL,B0,Black/Orange,Pro Mens Pants XL Black/Orange,B2C,24.18,57.58,true
ZCRPM-AP-XL-CS,ZavaCore Field Pro,R,Pants,Mens,AP,XL,XL,CS,Charcoal/Silver,Pro Mens Pants XL Charcoal/Silver,B2C,25.34,60.34,true
ZCRPM-AP-XL-RR,ZavaCore Field Pro,R,Pants,Mens,AP,XL,XL,RR,Deep Red/Red,Pro Mens Pants XL Deep Red/Red,B2C,24.4,58.1,true
ZCRPM-AP-XL-T0,ZavaCore Field Pro,R,Pants,Mens,AP,XL,XL,T0,Teal/Orange,Pro Mens Pants XL Teal/Orange,B2C,25.13,59.84,true
ZCRPW-AP-S-B0,ZavaCore Field Pro,R,Pants,Womens,AP,S,Small,B0,Black/Orange,Pro Womens Pants Small Black/Orange,B2C,24.2,57.61,true
ZCRPW-AP-S-CS,ZavaCore Field Pro,R,Pants,Womens,AP,S,Small,CS,Charcoal/Silver,Pro Womens Pants Small Charcoal/Silver,B2C,24.81,59.06,true
ZCRPW-AP-S-RR,ZavaCore Field Pro,R,Pants,Womens,AP,S,Small,RR,Deep Red/Red,Pro Womens Pants Small Deep Red/Red,B2C,24.62,58.61,true
ZCRPW-AP-S-T0,ZavaCore Field Pro,R,Pants,Womens,AP,S,Small,T0,Teal/Orange,Pro Womens Pants Small Teal/Orange,B2C,25.63,61.02,true
ZCRPW-AP-M-B0,ZavaCore Field Pro,R,Pants,Womens,AP,M,Medium,B0,Black/Orange,Pro Womens Pants Medium Black/Orange,B2C,24.42,58.14,true
ZCRPW-AP-M-CS,ZavaCore Field Pro,R,Pants,Womens,AP,M,Medium,CS,Charcoal/Silver,Pro Womens Pants Medium Charcoal/Silver,B2C,26.24,62.48,true
ZCRPW-AP-M-RR,ZavaCore Field Pro,R,Pants,Womens,AP,M,Medium,RR,Deep Red/Red,Pro Womens Pants Medium Deep Red/Red,B2C,24.99,59.5,true
ZCRPW-AP-M-T0,ZavaCore Field Pro,R,Pants,Womens,AP,M,Medium,T0,Teal/Orange,Pro Womens Pants Medium Teal/Orange,B2C,24.46,58.25,true
ZCRPW-AP-L-B0,ZavaCore Field Pro,R,Pants,Womens,AP,L,Large,B0,Black/Orange,Pro Womens Pants Large Black/Orange,B2C,23.53,56.03,true
ZCRPW-AP-L-CS,ZavaCore Field Pro,R,Pants,Womens,AP,L,Large,CS,Charcoal/Silver,Pro Womens Pants Large Charcoal/Silver,B2C,25.65,61.08,true
ZCRPW-AP-L-RR,ZavaCore Field Pro,R,Pants,Womens,AP,L,Large,RR,Deep Red/Red,Pro Womens Pants Large Deep Red/Red,B2C,24.2,57.61,true
ZCRPW-AP-L-T0,ZavaCore Field Pro,R,Pants,Womens,AP,L,Large,T0,Teal/Orange,Pro Womens Pants Large Teal/Orange,B2C,23.76,56.57,true
ZCRPW-AP-XL-B0,ZavaCore Field Pro,R,Pants,Womens,AP,XL,XL,B0,Black/Orange,Pro Womens Pants XL Black/Orange,B2C,25.4,60.48,true
ZCRPW-AP-XL-CS,ZavaCore Field Pro,R,Pants,Womens,AP,XL,XL,CS,Charcoal/Silver,Pro Womens Pants XL Charcoal/Silver,B2C,26.0,61.91,true
ZCRPW-AP-XL-RR,ZavaCore Field Pro,R,Pants,Womens,AP,XL,XL,RR,Deep Red/Red,Pro Womens Pants XL Deep Red/Red,B2C,26.06,62.05,true
ZCRPW-AP-XL-T0,ZavaCore Field Pro,R,Pants,Womens,AP,XL,XL,T0,Teal/Orange,Pro Womens Pants XL Teal/Orange,B2C,24.42,58.15,true
ZCRPY-AP-S-B0,ZavaCore Field Pro,R,Pants,Youth,AP,S,Small,B0,Black/Orange,Pro Youth Pants Small Black/Orange,B2C,21.89,52.13,true
ZCRPY-AP-S-CS,ZavaCore Field Pro,R,Pants,Youth,AP,S,Small,CS,Charcoal/Silver,Pro Youth Pants Small Charcoal/Silver,B2C,21.63,51.51,true
ZCRPY-AP-S-RR,ZavaCore Field Pro,R,Pants,Youth,AP,S,Small,RR,Deep Red/Red,Pro Youth Pants Small Deep Red/Red,B2C,20.73,49.35,true
ZCRPY-AP-S-T0,ZavaCore Field Pro,R,Pants,Youth,AP,S,Small,T0,Teal/Orange,Pro Youth Pants Small Teal/Orange,B2C,21.99,52.35,true
ZCRPY-AP-M-B0,ZavaCore Field Pro,R,Pants,Youth,AP,M,Medium,B0,Black/Orange,Pro Youth Pants Medium Black/Orange,B2C,20.59,49.03,true
ZCRPY-AP-M-CS,ZavaCore Field Pro,R,Pants,Youth,AP,M,Medium,CS,Charcoal/Silver,Pro Youth Pants Medium Charcoal/Silver,B2C,20.05,47.75,true
ZCRPY-AP-M-RR,ZavaCore Field Pro,R,Pants,Youth,AP,M,Medium,RR,Deep Red/Red,Pro Youth Pants Medium Deep Red/Red,B2C,21.3,50.72,true
ZCRPY-AP-M-T0,ZavaCore Field Pro,R,Pants,Youth,AP,M,Medium,T0,Teal/Orange,Pro Youth Pants Medium Teal/Orange,B2C,22.51,53.59,true
ZCRPY-AP-L-B0,ZavaCore Field Pro,R,Pants,Youth,AP,L,Large,B0,Black/Orange,Pro Youth Pants Large Black/Orange,B2C,20.74,49.37,true
ZCRPY-AP-L-CS,ZavaCore Field Pro,R,Pants,Youth,AP,L,Large,CS,Charcoal/Silver,Pro Youth Pants Large Charcoal/Silver,B2C,22.4,53.34,true
ZCRPY-AP-L-RR,ZavaCore Field Pro,R,Pants,Youth,AP,L,Large,RR,Deep Red/Red,Pro Youth Pants Large Deep Red/Red,B2C,21.49,51.16,true
ZCRPY-AP-L-T0,ZavaCore Field Pro,R,Pants,Youth,AP,L,Large,T0,Teal/Orange,Pro Youth Pants Large Teal/Orange,B2C,21.76,51.8,true
ZCRPY-AP-XL-B0,ZavaCore Field Pro,R,Pants,Youth,AP,XL,XL,B0,Black/Orange,Pro Youth Pants XL Black/Orange,B2C,21.38,50.91,true
ZCRPY-AP-XL-CS,ZavaCore Field Pro,R,Pants,Youth,AP,XL,XL,CS,Charcoal/Silver,Pro Youth Pants XL Charcoal/Silver,B2C,21.69,51.64,true
ZCRPY-AP-XL-RR,ZavaCore Field Pro,R,Pants,Youth,AP,XL,XL,RR,Deep Red/Red,Pro Youth Pants XL Deep Red/Red,B2C,20.2,48.1,true
ZCRPY-AP-XL-T0,ZavaCore Field Pro,R,Pants,Youth,AP,XL,XL,T0,Teal/Orange,Pro Youth Pants XL Teal/Orange,B2C,20.58,48.99,true
ZCPTM-SS-S-B0,ZavaCore Field Premium,P,Top,Mens,SS,S,Small,B0,Black/Orange,Premium Mens SS Top Small Black/Orange,B2C,23.89,56.87,true
ZCPTM-SS-S-CS,ZavaCore Field Premium,P,Top,Mens,SS,S,Small,CS,Charcoal/Silver,Premium Mens SS Top Small Charcoal/Silver,B2C,26.12,62.2,true
ZCPTM-LS-S-RR,ZavaCore Field Premium,P,Top,Mens,LS,S,Small,RR,Deep Red/Red,Premium Mens LS Top Small Deep Red/Red,B2C,26.95,64.17,true
ZCPTM-LS-S-T0,ZavaCore Field Premium,P,Top,Mens,LS,S,Small,T0,Teal/Orange,Premium Mens LS Top Small Teal/Orange,B2C,25.88,61.61,true
ZCPTM-SS-M-B0,ZavaCore Field Premium,P,Top,Mens,SS,M,Medium,B0,Black/Orange,Premium Mens SS Top Medium Black/Orange,B2C,24.86,59.18,true
ZCPTM-SS-M-CS,ZavaCore Field Premium,P,Top,Mens,SS,M,Medium,CS,Charcoal/Silver,Premium Mens SS Top Medium Charcoal/Silver,B2C,25.71,61.22,true
ZCPTM-LS-M-RR,ZavaCore Field Premium,P,Top,Mens,LS,M,Medium,RR,Deep Red/Red,Premium Mens LS Top Medium Deep Red/Red,B2C,25.33,60.3,true
ZCPTM-LS-M-T0,ZavaCore Field Premium,P,Top,Mens,LS,M,Medium,T0,Teal/Orange,Premium Mens LS Top Medium Teal/Orange,B2C,26.46,63.01,true
ZCPTM-SS-L-B0,ZavaCore Field Premium,P,Top,Mens,SS,L,Large,B0,Black/Orange,Premium Mens SS Top Large Black/Orange,B2C,25.83,61.5,true
ZCPTM-SS-L-CS,ZavaCore Field Premium,P,Top,Mens,SS,L,Large,CS,Charcoal/Silver,Premium Mens SS Top Large Charcoal/Silver,B2C,23.81,56.69,true
ZCPTM-LS-L-RR,ZavaCore Field Premium,P,Top,Mens,LS,L,Large,RR,Deep Red/Red,Premium Mens LS Top Large Deep Red/Red,B2C,24.57,58.49,true
ZCPTM-LS-L-T0,ZavaCore Field Premium,P,Top,Mens,LS,L,Large,T0,Teal/Orange,Premium Mens LS Top Large Teal/Orange,B2C,24.39,58.06,true
ZCPTM-SS-XL-B0,ZavaCore Field Premium,P,Top,Mens,SS,XL,XL,B0,Black/Orange,Premium Mens SS Top XL Black/Orange,B2C,25.41,60.49,true
ZCPTM-SS-XL-CS,ZavaCore Field Premium,P,Top,Mens,SS,XL,XL,CS,Charcoal/Silver,Premium Mens SS Top XL Charcoal/Silver,B2C,24.73,58.88,true
ZCPTM-LS-XL-RR,ZavaCore Field Premium,P,Top,Mens,LS,XL,XL,RR,Deep Red/Red,Premium Mens LS Top XL Deep Red/Red,B2C,23.91,56.94,true
ZCPTM-LS-XL-T0,ZavaCore Field Premium,P,Top,Mens,LS,XL,XL,T0,Teal/Orange,Premium Mens LS Top XL Teal/Orange,B2C,26.54,63.2,true
ZCPTW-SS-S-B0,ZavaCore Field Premium,P,Top,Womens,SS,S,Small,B0,Black/Orange,Premium Womens SS Top Small Black/Orange,B2C,25.96,61.8,true
ZCPTW-SS-S-CS,ZavaCore Field Premium,P,Top,Womens,SS,S,Small,CS,Charcoal/Silver,Premium Womens SS Top Small Charcoal/Silver,B2C,26.93,64.11,true
